service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
000130,0,0,0,0,0,0,0,20210318,20210617
000131,0,0,0,0,0,0,0,20210318,20210617
000132,0,0,0,0,0,0,0,20210318,20210617
000133,0,0,0,0,0,0,0,20210318,20210617
000134,0,0,0,0,0,0,0,20210318,20210617
000135,0,0,0,0,0,0,0,20210318,20210617
000136,0,0,0,0,0,0,0,20210318,20210617
000137,0,0,0,0,0,0,0,20210318,20210617
000138,0,0,0,0,0,0,0,20210318,20210617
000139,0,0,0,0,0,0,0,20210318,20210617
000140,0,0,0,0,0,0,0,20210318,20210617
000141,0,0,0,0,0,0,0,20210318,20210617
000142,0,0,0,0,0,0,0,20210318,20210617
000143,0,0,0,0,0,0,0,20210318,20210617
000144,0,0,0,0,0,0,0,20210318,20210617
000145,0,0,0,0,0,0,0,20210318,20210617
000146,0,0,0,0,0,0,0,20210318,20210617
000147,0,0,0,0,0,0,0,20210318,20210617
000148,0,0,0,0,0,0,0,20210318,20210617
000149,0,0,0,0,0,0,0,20210318,20210617
000150,0,0,0,0,0,0,0,20210318,20210617
000151,0,0,0,0,0,0,0,20210318,20210617
000152,0,0,0,0,0,0,0,20210318,20210617
000153,0,0,0,0,0,0,0,20210318,20210617
000154,0,0,0,0,0,0,0,20210318,20210617
000155,0,0,0,0,0,0,0,20210318,20210617
000156,0,0,0,0,0,0,0,20210318,20210617
000157,0,0,0,0,0,0,0,20210318,20210617
000158,0,0,0,0,0,0,0,20210318,20210617
000159,0,0,0,0,0,0,0,20210318,20210617
000160,0,0,0,0,0,0,0,20210318,20210617
000161,0,0,0,0,0,0,0,20210318,20210617
000162,0,0,0,0,0,0,0,20210318,20210617
000163,0,0,0,0,0,0,0,20210318,20210617
000164,0,0,0,0,0,0,0,20210318,20210617
000165,0,0,0,0,0,0,0,20210318,20210617
000166,0,0,0,0,0,0,0,20210318,20210617
000167,0,0,0,0,0,0,0,20210318,20210617
000168,0,0,0,0,0,0,0,20210318,20210617
000169,0,0,0,0,0,0,0,20210318,20210617
000170,0,0,0,0,0,0,0,20210318,20210617
000171,0,0,0,0,0,0,0,20210318,20210617
000172,0,0,0,0,0,0,0,20210318,20210617
000173,0,0,0,0,0,0,0,20210318,20210617
000174,0,0,0,0,0,0,0,20210318,20210617
000175,0,0,0,0,0,0,0,20210318,20210617
000176,0,0,0,0,0,0,0,20210318,20210617
000177,0,0,0,0,0,0,0,20210318,20210617
000178,0,0,0,0,0,0,0,20210318,20210617
000179,0,0,0,0,0,0,0,20210318,20210617
000180,0,0,0,0,0,0,0,20210318,20210617
000181,0,0,0,0,0,0,0,20210318,20210617
000182,0,0,0,0,0,0,0,20210318,20210617
000183,0,0,0,0,0,0,0,20210318,20210617
000184,0,0,0,0,0,0,0,20210318,20210617
000185,0,0,0,0,0,0,0,20210318,20210617
000186,0,0,0,0,0,0,0,20210318,20210617
000187,0,0,0,0,0,0,0,20210318,20210617
000188,0,0,0,0,0,0,0,20210318,20210617
000189,0,0,0,0,0,0,0,20210318,20210617
000190,0,0,0,0,0,0,0,20210318,20210617
000191,0,0,0,0,0,0,0,20210318,20210617
000192,0,0,0,0,0,0,0,20210318,20210617
000193,0,0,0,0,0,0,0,20210318,20210617
000194,0,0,0,0,0,0,0,20210318,20210617
000195,0,0,0,0,0,0,0,20210318,20210617
000196,0,0,0,0,0,0,0,20210318,20210617
000197,0,0,0,0,0,0,0,20210318,20210617
000198,0,0,0,0,0,0,0,20210318,20210617
000199,0,0,0,0,0,0,0,20210318,20210617
000200,0,0,0,0,0,0,0,20210318,20210617
000201,0,0,0,0,0,0,0,20210318,20210617
