route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-1209988,000081,OCESN14048F294198:2021-03-18T18:51:14Z,14048,0,172,
OCESN-1209988,000082,OCESN14048F295454:2021-03-18T18:51:14Z,14048,0,173,
OCESN-1209988,000057,OCESN14049F290997:2021-03-16T18:50:15Z,14049,1,174,
OCESN-1209988,000083,OCESN14049F293404:2021-03-18T18:51:14Z,14049,1,175,
OCESN-1209988,000084,OCESN14050F281823:2021-03-18T18:51:14Z,14050,0,176,
OCESN-1209988,000085,OCESN14050F293353:2021-03-18T18:51:14Z,14050,0,177,
OCESN-1209988,000086,OCESN14050F294257:2021-03-18T18:51:14Z,14050,0,178,
OCESN-1209988,000059,OCESN14052F222613:2021-03-18T18:51:14Z,14052,0,179,
OCESN-1209988,000058,OCESN14052F272477:2021-03-18T18:51:14Z,14052,0,180,
OCESN-1209988,000087,OCESN14052F289445:2021-03-18T18:51:14Z,14052,0,181,
OCESN-1209988,000081,OCESN14053F250756:2021-03-18T18:51:14Z,14053,1,182,
OCESN-1209988,000088,OCESN14053F291847:2021-03-18T18:51:14Z,14053,1,183,
OCESN-1209988,000089,OCESN14055F281744:2021-03-18T18:51:14Z,14055,1,184,
OCESN-1209988,000089,OCESN14056F293296:2021-03-18T18:51:14Z,14056,0,185,
OCESN-1209988,000090,OCESN14057F289536:2021-03-16T18:50:15Z,14057,1,186,
OCESN-1209988,000091,OCESN14059F294588:2021-03-18T18:51:14Z,14059,1,187,
OCESN-1209988,000092,OCESN14060F293292:2021-03-17T18:49:45Z,14060,0,188,
OCESN-1209988,000093,OCESN14061F156745:2021-03-16T18:50:15Z,14061,1,189,
OCESN-1209988,000094,OCESN14061F280908:2021-03-18T18:51:14Z,14061,1,190,
OCESN-1209988,000095,OCESN14061F289746:2021-03-18T18:51:14Z,14061,1,191,
OCESN-1209988,000096,OCESN14062F200909:2021-03-18T18:51:14Z,14062,0,192,
OCESN-1209988,000097,OCESN14062F294154:2021-03-18T18:51:14Z,14062,0,193,
OCESN-1209988,000098,OCESN14062F294158:2021-03-18T18:51:14Z,14062,0,194,
OCESN-1209988,000057,OCESN14063F289799:2021-03-17T18:49:45Z,14063,1,195,
OCESN-1209988,000081,OCESN14064F250747:2021-03-18T18:51:14Z,14064,0,196,
OCESN-1209988,000099,OCESN14065F293447:2021-03-18T18:51:14Z,14065,1,197,
OCESN-1209988,000100,OCESN14066F294156:2021-03-18T18:51:14Z,14066,0,198,
OCESN-1209988,000057,OCESN14067F293945:2021-03-18T18:51:14Z,14067,1,199,
OCESN-1209988,000101,OCESN14068F292088:2021-03-17T18:49:45Z,14068,0,200,
OCESN-1209988,000061,OCESN14068F293346:2021-03-18T18:51:14Z,14068,0,201,
OCESN-1209988,000102,OCESN14070F291785:2021-03-17T18:49:45Z,14070,0,202,
OCESN-1209988,000066,OCESN14070F293141:2021-03-18T18:51:14Z,14070,0,203,
OCESN-1209988,000099,OCESN14071F293517:2021-03-18T18:51:14Z,14071,1,204,
OCESN-1209988,000093,OCESN14072F108400:2021-03-18T18:51:14Z,14072,0,205,
OCESN-1209988,000103,OCESN14072F227498:2021-03-18T18:51:14Z,14072,0,206,
OCESN-1209988,000104,OCESN14072F284114:2021-03-18T18:51:14Z,14072,0,207,
OCESN-1209988,000057,OCESN14073F289877:2021-03-18T18:51:14Z,14073,1,208,
OCESN-1209988,000061,OCESN14074F220345:2021-03-18T18:51:14Z,14074,0,209,
OCESN-1209988,000090,OCESN14074F289559:2021-03-18T18:51:14Z,14074,0,210,
OCESN-1209988,000101,OCESN14074F289577:2021-03-16T18:50:15Z,14074,0,211,
OCESN-1209988,000070,OCESN14075F278655:2021-03-18T18:51:14Z,14075,1,212,
OCESN-1209988,000105,OCESN14075F294224:2021-03-18T18:51:14Z,14075,1,213,
OCESN-1209988,000099,OCESN14076F295460:2021-03-18T18:51:14Z,14076,0,214,
OCESN-1209988,000106,OCESN14078F285671:2021-03-18T18:51:14Z,14078,0,215,
OCESN-1209988,000107,OCESN14079F190067:2021-03-18T18:51:14Z,14079,1,216,
OCESN-1209988,000108,OCESN14080F278640:2021-03-18T18:51:14Z,14080,0,217,
OCESN-1209988,000109,OCESN14080F293385:2021-03-18T18:51:14Z,14080,0,218,
OCESN-1209988,000110,OCESN14080F295451:2021-03-18T18:51:14Z,14080,0,219,
OCESN-1209988,000111,OCESN14081F184557:2021-03-18T18:51:14Z,14081,1,220,
OCESN-1209988,000112,OCESN14081F261288:2021-03-18T18:51:14Z,14081,1,221,
OCESN-1209988,000113,OCESN14081F265180:2021-03-15T18:51:43Z,14081,1,222,
OCESN-1209988,000114,OCESN14081F295434:2021-03-18T18:51:14Z,14081,1,223,
OCESN-1209988,000115,OCESN14081F295675:2021-03-18T18:51:14Z,14081,1,224,
OCESN-1674116,000116,OCESN16350F148690:2021-03-16T18:50:15Z,16350,0,225,
OCESN-1674116,000117,OCESN16350F201410:2021-02-19T13:09:32Z,16350,0,226,
OCESN-1674116,000118,OCESN16350F236674:2021-03-09T18:51:45Z,16350,0,227,
OCESN-1674116,000119,OCESN16352F148743:2021-03-16T18:50:15Z,16352,0,228,
OCESN-1674116,000120,OCESN16352F152912:2021-03-13T18:50:12Z,16352,0,229,
OCESN-1674116,000121,OCESN16352F235853:2021-03-09T18:51:45Z,16352,0,230,
OCESN-1674116,000122,OCESN16352F244692:2021-03-06T18:51:50Z,16352,0,231,
OCESN-1674116,000123,OCESN16354F235310:2021-03-16T18:50:15Z,16354,0,232,
OCESN-1674116,000124,OCESN16354F288790:2021-03-15T18:51:43Z,16354,0,233,
OCESN-1674116,000125,OCESN16356F148583:2021-03-16T18:50:15Z,16356,0,234,
OCESN-1674116,000118,OCESN16356F236078:2021-03-09T18:51:45Z,16356,0,235,
OCESN-1674116,000125,OCESN16358F141974:2021-03-16T18:50:15Z,16358,0,236,
OCESN-1674116,000118,OCESN16358F236368:2021-03-09T18:51:45Z,16358,0,237,
OCESN-1674116,000126,OCESN16364F236116:2021-03-16T18:50:15Z,16364,1,238,
OCESN-1674116,000127,OCESN16364F274534:2021-03-09T18:51:45Z,16364,1,239,
OCESN-1674116,000128,OCESN16366F148737:2021-01-22T18:52:19Z,16366,1,240,
OCESN-1674116,000129,OCESN16366F235166:2021-03-17T18:49:45Z,16366,1,241,
OCESN-1674116,000130,OCESN16366F288810:2021-03-15T18:51:43Z,16366,1,242,
OCESN-1674116,000131,OCESN16368F236173:2021-03-17T18:49:45Z,16368,1,243,
OCESN-1674116,000132,OCESN16368F236972:2021-03-17T18:49:45Z,16368,1,244,
OCESN-1674116,000133,OCESN16368F293267:2021-03-17T18:49:45Z,16368,1,245,
OCESN-1674116,000134,OCESN16368F293306:2021-03-17T18:49:45Z,16368,1,246,
OCESN-1674116,000135,OCESN16370F234192:2021-03-16T18:50:15Z,16370,1,247,
OCESN-1674116,000135,OCESN16372F148796:2021-03-16T18:50:15Z,16372,1,248,
OCESN-1674116,000128,OCESN16380F148677:2021-01-22T18:52:19Z,16380,0,249,
OCESN-1674116,000136,OCESN16380F148706:2021-03-17T18:49:45Z,16380,0,250,
OCESN-1674116,000137,OCESN16380F231167:2021-03-16T18:50:15Z,16380,0,251,
OCESN-1674116,000138,OCESN16382F131166:2021-03-18T18:51:14Z,16382,0,252,
OCESN-1674116,000139,OCESN16382F246008:2021-03-16T18:50:15Z,16382,0,253,
OCESN-1674116,000140,OCESN16384F148676:2021-03-18T18:51:14Z,16384,0,254,
OCESN-1674116,000141,OCESN16384F148742:2021-02-18T19:09:53Z,16384,0,255,
OCESN-1674116,000142,OCESN16384F236512:2021-03-16T18:50:15Z,16384,0,256,
OCESN-1674116,000143,OCESN16386F149184:2021-03-18T18:51:14Z,16386,0,257,
OCESN-1674116,000144,OCESN16386F234722:2021-03-16T18:50:15Z,16386,0,258,
OCESN-1674116,000145,OCESN16388F148659:2021-03-18T18:51:14Z,16388,0,259,
OCESN-1674116,000146,OCESN16388F236493:2021-03-16T18:50:15Z,16388,0,260,
OCESN-1674116,000147,OCESN16390F235064:2021-03-18T18:51:14Z,16390,1,261,
OCESN-1674116,000148,OCESN16390F280777:2021-03-11T18:50:57Z,16390,1,262,
